"","Région","Valeur","hasc"
"1","Hammamet",21694,"TN.NB.HM"
"2","Raoued",19947,"TN.AN.RA"
"3","Zarzis",18608,"TN.ME.ZA"
"4","Bouhajla",14418,"TN.KR.SA"
"5","Sfax Sud",14359,"TN.SF.SS"
"6","Regueb",14177,"TN.SZ.RE"
"7","Djerba Houmet Souk",13896,"TN.ME.DH"
"8","Sbikha",13548,"TN.KR.SB"
"9","Tabarka",13133,"TN.JE.TA"
"10","Sakiet Eddaïer",13127,NA
"11","Sbeitla",12600,"TN.KS.ST"
"12","Mareth",12360,"TN.GB.MR"
"13","Djerba Midoun",12071,"TN.ME.DM"
"14","Fernana",11994,"TN.JE.FE"
"15","Ghardimaou",11839,"TN.JE.GH"
"16","Soukra",11622,"TN.AN.LS"
"17","Bir ali Ben Kelifa",11533,"TN.SF.BA"
"18","Tataouine Nord",11110,"TN.TA.TN"
"19","Sidi Bouzid Est",11101,"TN.SZ.SE"
"20","Ben Guerdane",10962,"TN.ME.BG"
"21","Tina",10880,"TN.SF.TH"
"22","Nefza",10802,"TN.BJ.NE"
"23","El Hencha",10736,"TN.SF.HA"
"24","Kairouan Sud",10531,"TN.KR.KS"
"25","Medenine Sud",10115,"TN.ME.MS"
"26","Essouassi",9699,"TN.MH.SO"
"27","Le Kram",9433,"TN.TU.LK"
"28","Sidi Hassine",9295,"TN.TU.SH"
"29","Jendouba Nord",8979,"TN.JE.JN"
"30","Jendouba",8885,NA
"31","Medenine Nord",8793,"TN.ME.MN"
"32","Menzel Chaker",8603,"TN.SF.MC"
"33","Sidi Bouzid Ouest",8482,"TN.SZ.SO"
"34","Bizerte Sud",8427,"TN.BZ.BS"
"35","El Haouaria",8415,"TN.NB.HR"
"36","Kasserine Nord",8389,"TN.KS.KN"
"37","Balta - Bou Aouane",8249,"TN.JE.BB"
"38","Enfidha",8219,"TN.SS.EN"
"39","Ksour Essef",8106,"TN.MH.KE"
"40","El Hamma",7982,"TN.GB.HA"
"41","Ain Draham",7943,"TN.JE.AD"
"42","Menzel Temime",7910,"TN.NB.MT"
"43","La Marsa",7843,"TN.TU.LM"
"44","Echebika",7817,"TN.KR.CB"
"45","Sedjnane",7738,"TN.BZ.SE"
"46","Akouda",7723,"TN.SS.AK"
"47","Fouchana",7668,"TN.BA.FO"
"48","Djebeniana",7635,"TN.SF.DJ"
"49","El Djem",7529,"TN.MH.JE"
"50","Beni Khedech",7502,"TN.ME.BK"
"51","Sidi Alouane",7479,"TN.MH.SA"
"52","Monastir",7448,"TN.MS.MS"
"53","Foussana",7426,"TN.KS.FO"
"54","Sidi Makhloulf",7349,"TN.ME.SM"
"55","Mornag",7321,"TN.BA.MR"
"56","Kairouan Nord",7014,"TN.KR.KN"
"57","Nasrallah",6994,"TN.KR.NA"
"58","Haffouz",6987,"TN.KR.HF"
"59","Agareb",6960,"TN.SF.AG"
"60","Grombalia",6823,"TN.NB.GR"
"61","Korba",6730,"TN.NB.KO"
