"","Région","Valeur","deg","hasc"
"1","Hammamet",21694,"Ariana Medina","TN.NB.HM"
"2","Raoued",19947,"Ettadhamen","TN.AN.RA"
"3","Zarzis",18608,"Kalaat El Andalous","TN.ME.ZA"
"4","Bouhajla",14418,"Soukra","TN.KR.SA"
"5","Sfax Sud",14359,"Mnihla","TN.SF.SS"
"6","Regueb",14177,"Raoued","TN.SZ.RE"
"7","Djerba Houmet Souk",13896,"Sidi Thabet","TN.ME.DH"
"8","Sbikha",13548,"Ben Arous","TN.KR.SB"
"9","Tabarka",13133,"Boumhel","TN.JE.TA"
"10","Sakiet Eddaïer",13127,"Ezzahra",NA
"11","Sbeitla",12600,"Fouchana","TN.KS.ST"
"12","Mareth",12360,"Hammam Chott","TN.GB.MR"
"13","Djerba Midoun",12071,"Hammam Lif","TN.ME.DM"
"14","Fernana",11994,"Megrine","TN.JE.FE"
"15","Ghardimaou",11839,"M'Hamdia","TN.JE.GH"
"16","Soukra",11622,"El Mourouj","TN.AN.LS"
"17","Bir ali Ben Kelifa",11533,"Mornag","TN.SF.BA"
"18","Tataouine Nord",11110,"Nouvelle Medina","TN.TA.TN"
"19","Sidi Bouzid Est",11101,"Rades","TN.SZ.SE"
"20","Ben Guerdane",10962,"Amdoun","TN.ME.BG"
"21","Tina",10880,"Beja Nord","TN.SF.TH"
"22","Nefza",10802,"Beja Sud","TN.BJ.NE"
"23","El Hencha",10736,"Goubellat","TN.SF.HA"
"24","Kairouan Sud",10531,"Mejez El Bab","TN.KR.KS"
"25","Medenine Sud",10115,"Nefza","TN.ME.MS"
"26","Essouassi",9699,"Teboursouk","TN.MH.SO"
"27","Le Kram",9433,"Thibar","TN.TU.LK"
"28","Sidi Hassine",9295,"Testour","TN.TU.SH"
"29","Jendouba Nord",8979,"El Alia","TN.JE.JN"
"30","Jendouba",8885,"Bizerte Nord",NA
"31","Medenine Nord",8793,"Bizerte Sud","TN.ME.MN"
"32","Menzel Chaker",8603,"Ghazala","TN.SF.MC"
"33","Sidi Bouzid Ouest",8482,"Ghar El Melh","TN.SZ.SO"
"34","Bizerte Sud",8427,"Zarzouna","TN.BZ.BS"
"35","El Haouaria",8415,"Joumine","TN.NB.HR"
"36","Kasserine Nord",8389,"Mateur","TN.KS.KN"
"37","Balta - Bou Aouane",8249,"Menzel Bourguiba","TN.JE.BB"
"38","Enfidha",8219,"Menzel Jemil","TN.SS.EN"
"39","Ksour Essef",8106,"Ras Jebel","TN.MH.KE"
"40","El Hamma",7982,"Sejnane","TN.GB.HA"
"41","Ain Draham",7943,"Tinja","TN.JE.AD"
"42","Menzel Temime",7910,"Utique","TN.NB.MT"
