NArab1,HASC_2a,NFr1,HASC_2b,NFr2,HASC_2c,deg
اريانة المدينة,TN.AN.AR,Ariana Medina,TN.AN.AR,Ariana Medina,TN.AN.AR,L'Ariana Ville
 حي التضامن,TN.AN.ET,Ettadhamen,TN.AN.ET,Ettadhamen,TN.AN.ET,Cit� Ettadhamen
 قلعة الأندلس,TN.AN.KA,Kalaat El Andalous,TN.AN.KA,Kalaat El Andalous,TN.AN.KA,Kala�t El Andalous
سكرة,TN.AN.LS,Soukra,TN.AN.LS,Soukra,TN.AN.LS,Soukra
 المنيهلة,TN.AN.MN,Mnihla,TN.AN.MN,Mnihla,TN.AN.MN,El Mnihla
روّاد,TN.AN.RA,Raoued,TN.AN.RA,Raoued,TN.AN.RA,Raoued
 سيدي ثابت,TN.AN.ST,Sidi Thabet,TN.AN.ST,Sidi Thabet,TN.AN.ST,Sidi Thabet
بن عروس,TN.BA.BA,Ben Arous,TN.BA.BA,Ben Arous,TN.BA.BA,Ben Arous
بومهل البساتين,TN.BA.BE,Boumhel,TN.BA.BE,Boumhel,TN.BA.BE,Bou Mhel El Bassatine
 الزهراء,TN.BA.EZ,Ezzahra,TN.BA.EZ,Ezzahra,TN.BA.EZ,Ezzahra
فوشانة,TN.BA.FO,Fouchana,TN.BA.FO,Fouchana,TN.BA.FO,Fouchana
حمام الشط,TN.BA.HC,Hammam Chott,TN.BA.HC,Hammam Chott,TN.BA.HC,Hammam Ch�tt
حمام الأنف,TN.BA.HL,Hammam Lif,TN.BA.HL,Hammam Lif,TN.BA.HL,Hammam Lif
مقرين,TN.BA.ME,Megrine,TN.BA.ME,Megrine,TN.BA.ME,Megrine
المحمدية,TN.BA.MH,M'Hamdia,TN.BA.MH,M'Hamdia,TN.BA.MH,Mohamedia
المروج,TN.BA.MJ,El Mourouj,TN.BA.MJ,El Mourouj,TN.BA.MJ,El Mourouj
مرناق,TN.BA.MR,Mornag,TN.BA.MR,Mornag,TN.BA.MR,Mornag
المدينة الجديدة,TN.BA.NM,Nouvelle Medina,TN.BA.NM,Nouvelle Medina,TN.BA.NM,La Nouvelle Medina
رادس,TN.BA.RA,Rades,TN.BA.RA,RadËs,TN.BA.RA,Rad�s
