"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"122850","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.1_1","Ariana Médina","Ariana Medina",NA,"Delegation","Delegation",NA,"TN.AN.AR"
"122900","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.2_1","Ettadhamen",NA,NA,"Delegation","Delegation",NA,"TN.AN.ET"
"122562","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.3_1","Kalaat El Andalous",NA,NA,"Delegation","Delegation",NA,"TN.AN.KA"
"122843","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.4_1","Mnihla",NA,NA,"Delegation","Delegation",NA,"TN.AN.MN"
"122742","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.5_1","Raoued",NA,NA,"Delegation","Delegation",NA,"TN.AN.RA"
"122784","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.6_1","Sebkhet Ariana",NA,NA,"Water body","Water Body",NA,NA
"122730","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.7_1","Sidi Thabet",NA,NA,"Delegation","Delegation",NA,"TN.AN.ST"
"122777","TUN","Tunisia","TUN.1_1","Ariana",NA,"TUN.1.8_1","Soukra",NA,NA,"Delegation","Delegation",NA,"TN.AN.LS"
"122829","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.1_1","Amdoun",NA,NA,"Delegation","Delegation",NA,"TN.BJ.AM"
"122803","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.2_1","Béja Nord",NA,NA,"Delegation","Delegation",NA,"TN.BJ.BN"
"123085","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.3_1","Béja Sud",NA,NA,"Delegation","Delegation",NA,"TN.BJ.BS"
"123215","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.4_1","Goubellat",NA,NA,"Delegation","Delegation",NA,"TN.BJ.GO"
"122905","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.5_1","Mejez El Bab",NA,NA,"Delegation","Delegation",NA,"TN.BJ.MB"
"122551","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.6_1","Nefza",NA,NA,"Delegation","Delegation",NA,"TN.BJ.NE"
"123303","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.7_1","Téboursouk","Teboursouk",NA,"Delegation","Delegation",NA,"TN.BJ.TB"
"123083","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.8_1","Testour",NA,NA,"Delegation","Delegation",NA,"TN.BJ.TT"
"123272","TUN","Tunisia","TUN.2_1","Béja",NA,"TUN.2.9_1","Thibar",NA,NA,"Delegation","Delegation",NA,"TN.BJ.TH"
"123054","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.1_1","Ben Arous",NA,NA,"Delegation","Delegation",NA,"TN.BA.BA"
"123110","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.2_1","Boumhel",NA,NA,"Delegation","Delegation",NA,"TN.BA.BE"
"123079","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.3_1","El Mourouj",NA,NA,"Delegation","Delegation",NA,"TN.BA.MJ"
"123061","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.4_1","Ezzahra",NA,NA,"Delegation","Delegation",NA,"TN.BA.EZ"
"123084","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.5_1","Fouchana",NA,NA,"Delegation","Delegation",NA,"TN.BA.FO"
"123123","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.6_1","Hammam Chott",NA,NA,"Delegation","Delegation",NA,"TN.BA.HC"
"123095","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.7_1","Hammam Lif",NA,NA,"Delegation","Delegation",NA,"TN.BA.HL"
"123120","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.8_1","M'Hamdia",NA,NA,"Delegation","Delegation",NA,"TN.BA.MH"
"123018","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.9_1","Mégrine","Megrine",NA,"Delegation","Delegation",NA,"TN.BA.ME"
"123112","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.10_1","Mornag",NA,NA,"Delegation","Delegation",NA,"TN.BA.MR"
"123071","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.11_1","Nouvelle Médina","Medina Jedida",NA,"Delegation","Delegation",NA,"TN.BA.NM"
"122988","TUN","Tunisia","TUN.3_1","Ben Arous (Tunis Sud)",NA,"TUN.3.12_1","Radès","Rades",NA,"Delegation","Delegation",NA,"TN.BA.RA"
"122312","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.1_1","Bizerte Nord",NA,NA,"Delegation","Delegation",NA,"TN.BZ.BN"
"122304","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.2_1","Bizerte Sud",NA,NA,"Delegation","Delegation",NA,"TN.BZ.BS"
"122439","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.3_1","El Alia",NA,NA,"Delegation","Delegation",NA,"TN.BZ.AL"
"122486","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.4_1","Ghar El Melh",NA,NA,"Delegation","Delegation",NA,"TN.BZ.GM"
"122502","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.5_1","Ghazala","Ghezala",NA,"Delegation","Delegation",NA,"TN.BZ.GH"
"122700","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.6_1","Joumine",NA,NA,"Delegation","Delegation",NA,"TN.BZ.JO"
"122505","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.7_1","Lake Ichkeul",NA,NA,"Water Body","Water Body",NA,NA
"122564","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.8_1","Mateur",NA,NA,"Delegation","Delegation",NA,"TN.BZ.MA"
"122531","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.9_1","Menzel Bourguiba",NA,NA,"Delegation","Delegation",NA,"TN.BZ.MB"
"122398","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.10_1","Menzel Jemil",NA,NA,"Delegation","Delegation",NA,"TN.BZ.MJ"
"122284","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.11_1","Ras Jebel",NA,NA,"Delegation","Delegation",NA,"TN.BZ.RJ"
"122397","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.12_1","Sejnane",NA,NA,"Delegation","Delegation",NA,"TN.BZ.SE"
"122491","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.13_1","Tinja",NA,NA,"Delegation","Delegation",NA,"TN.BZ.TI"
"122553","TUN","Tunisia","TUN.4_1","Bizerte",NA,"TUN.4.14_1","Utique",NA,NA,"Delegation","Delegation",NA,"TN.BZ.UT"
"126129","TUN","Tunisia","TUN.5_1","Gabès",NA,"TUN.5.1_1","Gabès Médina","Gabes Medina",NA,"Delegation","Delegation",NA,"TN.GB.GV"
