,X__1,Région,Valeur,hasc,deg
1,1,Hammamet,21694,TN.NB.HM,L'Ariana Ville
2,2,Raoued,19947,TN.AN.RA,Cité Ettadhamen
3,3,Zarzis,18608,TN.ME.ZA,Kalaât El Andalous
4,4,Bouhajla,14418,TN.KR.SA,Soukra
5,5,Sfax Sud,14359,TN.SF.SS,El Mnihla
6,6,Regueb,14177,TN.SZ.RE,Raoued
7,7,Djerba Houmet Souk,13896,NA,Sidi Thabet
8,8,Sbikha,13548,TN.KR.SB,Ben Arous
9,9,Tabarka,13133,TN.JE.TA,Bou Mhel El Bassatine
10,10,Sakiet Eddaïer,13127,NA,Ezzahra
11,11,Sbeitla,12600,TN.KS.ST,Fouchana
12,12,Mareth,12360,TN.GB.MR,Hammam Chôtt
13,13,Djerba Midoun,12071,TN.ME.DM,Hammam Lif
14,14,Fernana,11994,TN.JE.FE,Megrine
15,15,Ghardimaou,11839,TN.JE.GH,Mohamedia
16,16,Soukra,11622,TN.AN.LS,El Mourouj
17,17,Bir ali Ben Kelifa,11533,NA,Mornag
18,18,Tataouine Nord,11110,TN.TA.TN,La Nouvelle Medina
19,19,Sidi Bouzid Est,11101,TN.SZ.SE,Radès
20,20,Ben Guerdane,10962,TN.ME.BG,Amdoun
21,21,Tina,10880,NA,Béja Nord
22,22,Nefza,10802,TN.BJ.NE,Béja Sud
23,23,El Hencha,10736,NA,Goubellat
24,24,Kairouan Sud,10531,TN.KR.KS,Medjez El Bab
25,25,Medenine Sud,10115,TN.ME.MS,Nefza
26,26,Essouassi,9699,NA,Teboursouk
27,27,Le Kram,9433,TN.TU.LK,Tibar
28,28,Sidi Hassine,9295,TN.TU.SH,Testour
29,29,Jendouba Nord,8979,TN.JE.JN,El Alia
30,30,Jendouba,8885,NA,Bizerte Nord
31,31,Medenine Nord,8793,TN.ME.MN,Bizerte Sud
32,32,Menzel Chaker,8603,TN.SF.MC,Ghezala
33,33,Sidi Bouzid Ouest,8482,TN.SZ.SO,Ghar El Meleh
34,34,Bizerte Sud,8427,TN.BZ.BS,Zarzouna
35,35,El Haouaria,8415,NA,Djoumine
36,36,Kasserine Nord,8389,TN.KS.KN,Mateur
37,37,Balta - Bou Aouane,8249,NA,Menzel Bourguiba
38,38,Enfidha,8219,TN.SS.EN,Menzel Djemil
39,39,Ksour Essef,8106,TN.MH.KE,Ras Djebel
40,40,El Hamma,7982,NA,Sedjnane
